"index","ncaa_name","espn_name","primary_color","secondary_color","tertiary_color","color_4","color_5","color_6","logo_url","color_3","conference"
"152","Loyola Chicago","Loyola-Chicago","#922247","#FEBD18",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/69/Loyola_Ramblers_logo.svg/301px-Loyola_Ramblers_logo.svg.png",NA,"A-10"
"153","Loyola Maryland","Loyola (MD)","#00694E","#CACAC8",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Loyola_Greyhounds_logo.svg/186px-Loyola_Greyhounds_logo.svg.png",NA,"Patriot"
"154","LSU","LSU","#461D7C","#FDD023",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/220px-LSU_Athletics_logo.svg.png",NA,"SEC"
"155","Maine","Maine","#003263","#B0D7FF","#AB0634","#908C89","#000000",NA,"https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Maine_Black_Bears_logo.svg/313px-Maine_Black_Bears_logo.svg.png",NA,"Am. East"
"156","Manhattan","Manhattan","#00703C","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Manhattan_Jaspers_logo.svg/287px-Manhattan_Jaspers_logo.svg.png",NA,"MAAC"
"157","Marist","Marist","#C8102E","#B2B2B2","#000000",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Marist_Red_Foxes_logo.svg/320px-Marist_Red_Foxes_logo.svg.png",NA,"MAAC"
"158","Marquette","Marquette","#003366","#FFCC00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Marquette_Golden_Eagles_logo.svg/320px-Marquette_Golden_Eagles_logo.svg.png",NA,"Big East"
"159","Marshall","Marshall","#00B140","#A2AAAD","#693F23","#AD7C59","#27251F",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Marshall_Thundering_Herd_logo.svg/320px-Marshall_Thundering_Herd_logo.svg.png",NA,"MVC"
"160","Maryland","Maryland","#E03A3E","#FFD520","#FFFFFF","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Maryland_Terrapins_logo.svg/219px-Maryland_Terrapins_logo.svg.png",NA,"Big 10"
"161","Massachusetts","UMass","#971B2F","#572932","#B1B3B3","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/UMass_Amherst_Athletics_logo.svg/294px-UMass_Amherst_Athletics_logo.svg.png",NA,"A-10"
"162","McNeese","Mcneese","#00529B","#FFD204",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/McNeese_State_Athletics_logo.svg/224px-McNeese_State_Athletics_logo.svg.png",NA,"Southland"
"163","Memphis","Memphis","#003087","#898D8D",NA,NA,NA,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png&h=200&w=200",NA,"AAC"
"164","Mercer","Mercer","#CB5307","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Mercer_Bears_logo.svg/312px-Mercer_Bears_logo.svg.png",NA,"Southern"
"165","Merrimack","Merrimack","#003768","#ffde00","#8c8a88",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Merrimack_Warriors.svg/309px-Merrimack_Warriors.svg.png",NA,"NEC"
"166","Miami (FL)","Miami","#F47321","#005030","#FFFFFF",NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Miami_Hurricanes_logo.svg/320px-Miami_Hurricanes_logo.svg.png",NA,"ACC"
"167","Miami (OH)","Miami (OH)","#B61E2E","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Miami_Redhawks_logo.svg/317px-Miami_Redhawks_logo.svg.png",NA,"MAC"
"168","Michigan","Michigan","#00274C","#FFCB05",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Michigan_Wolverines_logo.svg/320px-Michigan_Wolverines_logo.svg.png",NA,"Big 10"
"169","Michigan St.","Michigan State","#18453B","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Michigan_State_Athletics_logo.svg/208px-Michigan_State_Athletics_logo.svg.png",NA,"Big 10"
"170","Middle Tenn.","Mid Tennessee","#0066CC","#69B3E7",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/e/ea/Middle_Tennessee_MT_Logomark.svg",NA,"C-USA"
"171","Milwaukee","Milwaukee","#FFBD00","#CCCCCC",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/3/36/Milwaukee_Panthers_letter_logo.svg",NA,"Horizon"
"172","Minnesota","Minnesota","#7A0019","#FFCC33",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Minnesota_Golden_Gophers_logo.svg/320px-Minnesota_Golden_Gophers_logo.svg.png",NA,"Big 10"
